article,date,lien,title
"['Le porte-parole du Front Populaire, Hamma Hammami, a qualifié l\'adoption du projet d\'amendement de la loi électorale de mascarade, lors d\'une conférence de presse tenue ce mercredi.', ""Le porte-parole du Front Populaire, Hamma Hammami, a qualifié l'adoption du projet d'amendement de la loi électorale de mascarade, lors d'une conférence de presse tenue ce mercredi."", '""Nous ne pouvons pas changer les règles du jeu à 4 mois des élections"", a-t-il déclaré.', 'Hammami a fait savoir que le Front populaire avait, auparavant, mis en garde contre le danger de l\'instrumentalisation des médias et des associations caritatives à des fins politiques. Et d\'ajouter que ces amendements de dernière minute ne sont autres que synonymes d\'échec pour la coalition au pouvoir d\'une part et de pourriture et de corruption politiques d\'autre part.', 'Il faut lutter contre l\'adoption de la loi électorale amendée par tous les moyens, d\'après lui.']", 19 Juin 2019 12:03,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/563531/hammami-l-adoption-de-la-loi-electorale-est-une-mascarade,Hammami : L'adoption de la loi électorale est une mascarade
"['Yassine Ayari a publié sur sa page Facebook le liste des députés qui s\'opposent à l\'adoption de la loi électorale amendée.', ""Yassine Ayari a publié sur sa page Facebook le liste des députés qui s'opposent à l'adoption de la loi électorale amendée."", 'La liste fut la suivante : Fatma Mseddi, Noura Amri, Abdelaziz Kotti, Mohamed Fadher Ben Amra, Tarek Baraq, Taoufik Jemli, Ridha Dalleii, Mohamed Hamdi, Adnene Hajji, Hmed Khaskhoussi, Zouhaier Maghzaoui et Yassine Ayari.', 'Rappelons que la loi électorale a été votée comme suit : 128 voix pour et 30 contre tandis que 14 députés s\'en sont abstenus.']", 19 Juin 2019 11:49,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/563526/petition-contre-la-loi-electorale-12-signatures-collectees,Pétition contre la loi électorale : 12 signatures collectées
"['Nabil Karoui, candidat à l\'élection présidentielle a publié un communiqué, ce mardi 18 juin, à l\'issue de l\'adoption de la loi électorale.    Il a précisé que ""ce qui s\'est passé au sein de l\'hémicycle ce jour est le suicide du pouvoir en place, sa faillite et\xa0 la faillite de son bloc parlementaire et de ses députés de la honte"".  Pour Nabil Karoui, ""ce même système a refusé l\'interdiction du tourisme parlementaire et l’usurpation des voix du peuple mais a voté pour l’exclusion contre la constitution et contre les coutumes.""  D\'autre part, le candidat à la Présidentielle a estimé que cette loi a été faite sur mesure, le ciblant personnellement et que ceci ne freinera pas son projet.', ""Nabil Karoui, candidat à l'élection présidentielle a publié un communiqué, ce mardi 18 juin, à l'issue de l'adoption de la loi électorale."", '""Mon projet dépasse ma personne car il concerne des milliers de citoyens (...) je ne vais pas les décevoir, je leur promets la victoire"", a-t-il martelé.', 'Pour conclure, Nabil Karoui a adressé un message aux députés ayant voté pour cette loi, leur disant que la souveraineté nationale est une ligne rouge et que la Tunisie n’est pas à vendre.', '\xa0', '']", 18 Juin 2019 20:25,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/563246/loi-electorale-nabil-karoui-annonce-le-suicide-du-pouvoir-en-place,Loi électorale: Nabil Karoui annonce le suicide du pouvoir en place (Photos)
"['Ons Hattab, députée du bloc parlementaire de Nidaa Tounes a annoncé, que le bloc fera appel des amendements de la loi électorale approuvés, ce mardi 18 juin, à l\'assemblée des représentants du peuple.', 'Pour Ons Hattab, cette initiative n\'émane pas du gouvernement mais de Tahya Tounes et du mouvement Ennahdha.', 'Et d\'ajouter que la loi inconstitutionnelle a été approuvée sous la pression.', '', 'JavaScript is required.']", 18 Juin 2019 18:53,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/563186/ons-hattab-rejette-l-amendement-de-la-loi-electorale,Ons Hattab rejette l'amendement de la loi électorale
"['Basma Belaid, veuve du martyr Chokri Belaid a nié avoir donné une quelconque déclaration aux médias concernant une éventuelle accusation d\'avoir dissimulé des preuves dans le dossier de l\'affaire Belaid.  Elle a affirmé que c\'est une plainte déposée par un blogueur à son encontre l\'accusant d\'avoir caché le téléphone du martyr alors qu\'aucune accusation ne lui a été adressé.  Elle considère que ces rumeurs s\'inscrivent dans une campagne de dénigrement et atteinte à la mémoire du martyr.']", 19 Juin 2019 11:07,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/563486/basma-belaid-campagne-de-denigrement-contre-le-martyr-et-sa-famille,Basma Belaid: Campagne de dénigrement contre le martyr et sa famille
"['Le parti ""Al Massar"" a annoncé, dans un communiqué, sa participation dans une nouvelle coalition politique et électorale appelée \'La voie démocratique et sociale\'.', 'Le parti ""Al Massar"" a annoncé, dans un communiqué, sa participation dans une nouvelle coalition politique et électorale appelée \'La voie démocratique et sociale\'.', 'Le parti a affirmé son droit à la participation aux élections et son intention de proposer un candidat pour la Présidentielle.']", 19 Juin 2019 11:11,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/563496/al-massar-dans-une-nouvelle-coalition,Al Massar dans une nouvelle coalition 
"['Le député du Front populaire, Ahmed Seddik, a déclaré ce mercredi 19 juin qu\'il était pour le fait d\'intenter un recours contre la loi électorale adoptée hier, pour inconstitutionnalité.', ""Le député du Front populaire, Ahmed Seddik, a déclaré ce mercredi 19 juin qu'il était pour le fait d'intenter un recours contre la loi électorale adoptée hier, pour inconstitutionnalité."", 'Il a, en outre, souligné qu\'il avait voté contre les amendements proposées car ils\xa0ont eu lieu la veille des élections.  \xa0']", 19 Juin 2019 11:00,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/563471/ahmed-seddik-pour-un-recours-contre-la-loi-electorale,Ahmed Seddik pour un recours contre la loi électorale 
"['Après avoir adopté, hier mardi, \xa0le projet de loi relatif à l\'amendement de la loi électorale dans son intégralité, le député du Mouvement du Peuple, Zouhaier Maghzaoui, a annoncé, dans une déclaration accordée au journal ""Le Maghreb"", une possibilité d\'intenter un recours auprès de l\'Instance provisoire chargée du contrôle de la constitutionnalité des projets de loi.', 'On vise à collecter 30 signatures sans aucune garantie, selon lui.']", 19 Juin 2019 08:57,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/563386/loi-electorale-possible-recours-pour-inconstitutionnalite,Loi électorale : Possible recours pour inconstitutionnalité 
"['Abdelaziz Kotti, secrétaire général de Nidaa Tounes, Clan Hammamet, a annoncé sur les ondes de Mosaïque FM que le conseil central de son parti a décidé d’intenter un procès à l’encontre de Mohamed Fadhel Mahfoudh, ministre chargé des relations avec les instances constitutionnelles.', 'Cette décision intervient après la confirmation du rejet de deux listes candidates de Nidaa Tounes aux élections municipales partielles au Bardo par le Tribunal administratif pour ""qualité de représentant légal non \u200e\u200eprouvée"".', 'Abdelaziz Kotti a accusé FMohamed adhel Mahfoudh de faire croire au tribunal administratif de l’existence d’un litige judiciaire au sein de Nidaa Tounes et a estimé que cela s’inscrit dans le cadre d’un projet d’exclusion des concurrents d’un parti politique qu’il n’a pas cité.', '', 'JavaScript is required.']", 16 Juin 2019 14:07,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/561851/nidaa-tounes-intente-un-proces-contre-fadhel-mahfoudh,Nidaa Tounes intente un procès contre Fadhel Mahfoudh
"['L\'Assemblée des représentants du peuple a adopté le projet de loi portant amendement de la loi électorale en sa globalité.', ""L'Assemblée des représentants du peuple a adopté le projet de loi portant amendement de la loi électorale en sa globalité."", '128 députés ont voté pour, 20 contre et 14 s\'en sont abstenus.']", 18 Juin 2019 16:58,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/563131/la-loi-electorale-adoptee,La loi électorale adoptée
"['Selon des sources bien informées l\'ISIE a rejeté la candidature de mouvement Ennahdha, candidat aux élections partielles de la municipalité Laayoun, gouvernorat de Kasserine, en raison du dépôt de candidatures après les délais.  L\'ISIE a également rejeté la candidature de la liste du Front Populaire pour els élections partielles pour la municipalité de Sers, gouvernorat du Kef en raison de la division au sein du parti. Les listes de Nidaa faction Monastir ont également été rejetées de la municipalité de Laayoun, Sers , Tibar en raison des divisions et le litige juridique au sein du parti\xa0']", 15 Juin 2019 12:17,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/561431/l-isie-rejette-les-candidatures-d-ennahdha-le-fp-et-nidaa-monastir,"L'ISIE rejette les candidatures d'Ennahdha, le FP et Nidaa Monastir"
"['La présidente du Parti Destourien Libre, Abir Moussi a annoncé dans une vidéo publiée sur lap page officielle du PDL sur Facebook qu’un complot était derrière la démission de 11 responsables du parti de leurs postes.', 'Elle souligné que ces onze responsables étaient sur le point de rejoindre d’autres parti et que le cabinet politique du PDL a décidé de les geler dans un premier temps avant de les évincer définitivement pour atteinte au règlement intérieur et de la charte déontologique du parti.', '', '\xa0']", 13 Juin 2019 23:50,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/560826/a-moussi-un-complot-derriere-la-demission-de-11-responsables-du-pdl,A.Moussi : un complot derrière la démission de 11 responsables du PDL
"['La présidente du Parti Destourien Libre, Abir Moussi a critiqué dans une vidéo publiée sur la page officielle du PDL sur Facebook, les propositions d’amendement de la loi électorale, qualifiant ces mesures d’anticonstitutionnelles.  \xa0  Abir Moussi a fait part de son étonnement quant à l’amendement de la loi électorale à quelques mois des élections législatives et présidentielles.', 'Selon elle, la « montée de la côte » de Nabil Karoui et du parti destourien libre inquiète la coalition au pouvoir et que le gouvernement représente une menace pour le processus politique dans le pays.', '', '\xa0']", 14 Juin 2019 00:32,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/560836/abir-moussi-le-gouvernement-menace-le-processus-democratique,Abir Moussi : le gouvernement menace le processus démocratique (Vidéos)
